producto,precio_menudeo,precio_mayoreo,marca
Esmaltes Pasarela de Bissú,13.0,10.0,Bissú
Bissú – Polvo Compacto,86.0,83.0,Bissú
MAQUILLAJE LÍQUIDO ALTA COBERTURA,143.0,140.0,Bissú
PLUMIN DELINEADOR 01 NEGRO,65.0,62.0,Bissú
PLUMÍN MATE,65.0,62.0,Bissú
LÁPIZ DELINEADOR LABIAL,75.0,72.0,Bissú
Lip Oil – Bissú,60.0,57.0,Bissú
Beauty Box de Nina Cosmetics,59.0,56.0,Bissú
Bolsa para Regalos “Día de las Madres” – Bissú,62.0,59.0,Bissú
RUBOR – BISSÚ,45.0,42.0,Bissú
Labial – Bissu,36.0,33.0,Bissú
Iluminador – Bissú -Tauro,49.0,46.0,Bissú
Lapiz Ultra Fino – Bissu,45.0,42.0,Bissú
Paleta para Rostro 3 en 1  – Bissú,100.0,97.0,Bissú
Base líquida ligera – Bissú,118.0,115.0,Bissú
Paleta de contorno – Bissú,100.0,97.0,Bissú
Corrector facial – Bissú,29.0,26.0,Bissú
Sombras Quinteto,54.0,51.0,Bissú
Tintaline Ojos,57.0,54.0,Bissú
TintaLine Labios,57.0,54.0,Bissú
Bissú Tinta para Labios y Mejillas,60.0,57.0,Bissú
Bissú Piel Desnuda Serum con Color 1% Ácido Hialurónico,96.0,93.0,Bissú
